Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|01.06.2026|2053799558103B8070000025150|2053799558103B8070000025150|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010144|2053799558103B8050000010144|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010145|2053799558103B8050000010145|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010146|2053799558103B8050000010146|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025151|2053799558103B8070000025151|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025152|2053799558103B8070000025152|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010147|2053799558103B8050000010147|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025153|2053799558103B8070000025153|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010148|2053799558103B8050000010148|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010149|2053799558103B8050000010149|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010150|2053799558103B8050000010150|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010151|2053799558103B8050000010151|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010152|2053799558103B8050000010152|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010153|2053799558103B8050000010153|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010154|2053799558103B8050000010154|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010155|2053799558103B8050000010155|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024136|2053799558103B8060000024136|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025154|2053799558103B8070000025154|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024137|2053799558103B8060000024137|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024138|2053799558103B8060000024138|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024139|2053799558103B8060000024139|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024140|2053799558103B8060000024140|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024141|2053799558103B8060000024141|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024142|2053799558103B8060000024142|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024143|2053799558103B8060000024143|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025155|2053799558103B8070000025155|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024144|2053799558103B8060000024144|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024145|2053799558103B8060000024145|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025156|2053799558103B8070000025156|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025157|2053799558103B8070000025157|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024146|2053799558103B8060000024146|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025158|2053799558103B8070000025158|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024147|2053799558103B8060000024147|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024148|2053799558103B8060000024148| Diferencia en monto PEN - 40.99 con respecto al archivo.|
2026|1007|01.06.2026|2053799558103B8060000024149|2053799558103B8060000024149| Diferencia en monto PEN - 8.5 con respecto al archivo.|
2026|1007|01.06.2026|2053799558103B8060000024150|2053799558103B8060000024150|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024151|2053799558103B8060000024151|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025159|2053799558103B8070000025159|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025160|2053799558103B8070000025160|Registro OK.|
